backend,density,n_movers,window,gt_static,pred_static,tp,precision,recall,f1
#seed,12345,,,,,,,,
grid2d,low,5,0,161,0,0,0,0,0
grid2d,low,5,1,161,0,0,0,0,0
grid2d,low,5,2,161,161,161,1,1,1
grid2d,low,5,3,161,161,161,1,1,1
grid2d,low,5,4,161,161,161,1,1,1
grid2d,low,5,5,161,161,161,1,1,1
grid2d,low,5,6,161,161,161,1,1,1
grid2d,low,5,7,161,161,161,1,1,1
grid2d,low,5,8,161,161,161,1,1,1
grid2d,low,5,9,161,161,161,1,1,1
grid2d,low,5,10,161,161,161,1,1,1
grid2d,low,5,11,161,161,161,1,1,1
grid2d,low,5,12,161,161,161,1,1,1
grid2d,low,5,13,161,161,161,1,1,1
grid2d,low,5,14,161,161,161,1,1,1
grid2d,low,5,15,161,161,161,1,1,1
grid2d,low,5,16,161,161,161,1,1,1
grid2d,low,5,17,161,161,161,1,1,1
grid2d,low,5,18,161,161,161,1,1,1
grid2d,low,5,19,161,161,161,1,1,1
grid2d,low,5,20,161,161,161,1,1,1
grid2d,low,5,21,161,161,161,1,1,1
grid2d,low,5,22,161,161,161,1,1,1
grid2d,low,5,23,161,161,161,1,1,1
grid2d,low,5,24,161,161,161,1,1,1
grid2d,low,5,25,161,161,161,1,1,1
grid2d,low,5,26,161,161,161,1,1,1
grid2d,low,5,27,161,161,161,1,1,1
grid2d,low,5,28,161,161,161,1,1,1
grid2d,low,5,29,161,161,161,1,1,1
grid2d,low,5,30,161,161,161,1,1,1
grid2d,low,5,31,161,161,161,1,1,1
grid2d,low,5,32,161,161,161,1,1,1
grid2d,low,5,33,161,161,161,1,1,1
grid2d,low,5,34,161,161,161,1,1,1
grid2d,low,5,35,161,161,161,1,1,1
grid2d,low,5,36,161,161,161,1,1,1
grid2d,low,5,37,161,161,161,1,1,1
grid2d,low,5,38,161,161,161,1,1,1
grid2d,low,5,39,161,161,161,1,1,1
voxel3d,low,5,0,161,0,0,0,0,0
voxel3d,low,5,1,161,0,0,0,0,0
voxel3d,low,5,2,161,161,161,1,1,1
voxel3d,low,5,3,161,161,161,1,1,1
voxel3d,low,5,4,161,161,161,1,1,1
voxel3d,low,5,5,161,161,161,1,1,1
voxel3d,low,5,6,161,161,161,1,1,1
voxel3d,low,5,7,161,161,161,1,1,1
voxel3d,low,5,8,161,161,161,1,1,1
voxel3d,low,5,9,161,161,161,1,1,1
voxel3d,low,5,10,161,161,161,1,1,1
voxel3d,low,5,11,161,161,161,1,1,1
voxel3d,low,5,12,161,161,161,1,1,1
voxel3d,low,5,13,161,161,161,1,1,1
voxel3d,low,5,14,161,161,161,1,1,1
voxel3d,low,5,15,161,161,161,1,1,1
voxel3d,low,5,16,161,161,161,1,1,1
voxel3d,low,5,17,161,161,161,1,1,1
voxel3d,low,5,18,161,161,161,1,1,1
voxel3d,low,5,19,161,161,161,1,1,1
voxel3d,low,5,20,161,161,161,1,1,1
voxel3d,low,5,21,161,161,161,1,1,1
voxel3d,low,5,22,161,161,161,1,1,1
voxel3d,low,5,23,161,161,161,1,1,1
voxel3d,low,5,24,161,161,161,1,1,1
voxel3d,low,5,25,161,161,161,1,1,1
voxel3d,low,5,26,161,161,161,1,1,1
voxel3d,low,5,27,161,161,161,1,1,1
voxel3d,low,5,28,161,161,161,1,1,1
voxel3d,low,5,29,161,161,161,1,1,1
voxel3d,low,5,30,161,161,161,1,1,1
voxel3d,low,5,31,161,161,161,1,1,1
voxel3d,low,5,32,161,161,161,1,1,1
voxel3d,low,5,33,161,161,161,1,1,1
voxel3d,low,5,34,161,161,161,1,1,1
voxel3d,low,5,35,161,161,161,1,1,1
voxel3d,low,5,36,161,161,161,1,1,1
voxel3d,low,5,37,161,161,161,1,1,1
voxel3d,low,5,38,161,161,161,1,1,1
voxel3d,low,5,39,161,161,161,1,1,1
grid2d,med,25,0,161,0,0,0,0,0
grid2d,med,25,1,161,0,0,0,0,0
grid2d,med,25,2,161,161,161,1,1,1
grid2d,med,25,3,161,161,161,1,1,1
grid2d,med,25,4,161,161,161,1,1,1
grid2d,med,25,5,161,161,161,1,1,1
grid2d,med,25,6,161,161,161,1,1,1
grid2d,med,25,7,161,161,161,1,1,1
grid2d,med,25,8,161,161,161,1,1,1
grid2d,med,25,9,161,161,161,1,1,1
grid2d,med,25,10,161,161,161,1,1,1
grid2d,med,25,11,161,161,161,1,1,1
grid2d,med,25,12,161,161,161,1,1,1
grid2d,med,25,13,161,161,161,1,1,1
grid2d,med,25,14,161,161,161,1,1,1
grid2d,med,25,15,161,161,161,1,1,1
grid2d,med,25,16,161,161,161,1,1,1
grid2d,med,25,17,161,161,161,1,1,1
grid2d,med,25,18,161,161,161,1,1,1
grid2d,med,25,19,161,161,161,1,1,1
grid2d,med,25,20,161,161,161,1,1,1
grid2d,med,25,21,161,162,161,0.993827,1,0.996904
grid2d,med,25,22,161,162,161,0.993827,1,0.996904
grid2d,med,25,23,161,162,161,0.993827,1,0.996904
grid2d,med,25,24,161,162,161,0.993827,1,0.996904
grid2d,med,25,25,161,162,161,0.993827,1,0.996904
grid2d,med,25,26,161,162,161,0.993827,1,0.996904
grid2d,med,25,27,161,162,161,0.993827,1,0.996904
grid2d,med,25,28,161,162,161,0.993827,1,0.996904
grid2d,med,25,29,161,162,161,0.993827,1,0.996904
grid2d,med,25,30,161,162,161,0.993827,1,0.996904
grid2d,med,25,31,161,162,161,0.993827,1,0.996904
grid2d,med,25,32,161,162,161,0.993827,1,0.996904
grid2d,med,25,33,161,162,161,0.993827,1,0.996904
grid2d,med,25,34,161,162,161,0.993827,1,0.996904
