cell,gt_periodic,obs_length,amplitude,periodic_prob
#seed,12345,period_windows,8,
door_p8_4on4off,1,6,0,5.55112e-17
door_p8_4on4off,1,8,0.653281,0
door_p8_4on4off,1,12,0.871042,1
door_p8_4on4off,1,16,0.653281,0
door_p8_4on4off,1,24,0.653281,0
door_p8_4on4off,1,32,0.653281,0
door_p8_4on4off,1,48,0.653281,0
door_p8_4on4off,1,64,0.653281,0
door_p8_2on6off,1,6,0,0
door_p8_2on6off,1,8,0.46194,0
door_p8_2on6off,1,12,0.61592,1.94289e-16
door_p8_2on6off,1,16,0.46194,0
door_p8_2on6off,1,24,0.46194,0
door_p8_2on6off,1,32,0.46194,0
door_p8_2on6off,1,48,0.46194,0
door_p8_2on6off,1,64,0.46194,0
door_p4_2on2off,1,6,0,1
door_p4_2on2off,1,8,0.707107,0
door_p4_2on2off,1,12,0.707107,1.52656e-16
door_p4_2on2off,1,16,0.707107,0
door_p4_2on2off,1,24,0.707107,0
door_p4_2on2off,1,32,0.707107,0
door_p4_2on2off,1,48,0.707107,0
door_p4_2on2off,1,64,0.707107,0
wall_constant,0,6,0,1
wall_constant,0,8,4.09521e-16,1
wall_constant,0,12,0.435521,1
wall_constant,0,16,6.94996e-16,1
wall_constant,0,24,1.08339e-15,1
wall_constant,0,32,1.26038e-15,1
wall_constant,0,48,8.94754e-16,1
wall_constant,0,64,8.84575e-16,1
aperiodic_0,0,6,0,0
aperiodic_0,0,8,0.603553,0
aperiodic_0,0,12,0.688619,1
aperiodic_0,0,16,0.444706,0.4375
aperiodic_0,0,24,0.377172,0.416667
aperiodic_0,0,32,0.25,0.5625
aperiodic_0,0,48,0.186339,0.416667
aperiodic_0,0,64,0.159344,0.53125
aperiodic_1,0,6,0,0.333333
aperiodic_1,0,8,0.603553,1
aperiodic_1,0,12,0.435521,4.996e-16
aperiodic_1,0,16,0.522693,0.9375
aperiodic_1,0,24,0.492799,0.916667
aperiodic_1,0,32,0.422175,0.71875
aperiodic_1,0,48,0.389592,0.8125
aperiodic_1,0,64,0.328854,0.765625
aperiodic_2,0,6,0,1
aperiodic_2,0,8,4.09521e-16,1
aperiodic_2,0,12,0.30796,0.666667
aperiodic_2,0,16,0.279508,0.5625
aperiodic_2,0,24,0.166667,0.666667
aperiodic_2,0,32,0.200026,0.5625
aperiodic_2,0,48,0.209636,0.541667
aperiodic_2,0,64,0.13855,0.5625
aperiodic_3,0,6,0,0.166667
aperiodic_3,0,8,0.25,1
aperiodic_3,0,12,0.466322,0.75
aperiodic_3,0,16,0.306186,0.625
aperiodic_3,0,24,0.276385,0.458333
aperiodic_3,0,32,0.349742,0.5625
aperiodic_3,0,48,0.30227,0.75
aperiodic_3,0,64,0.250889,0.671875
