graduate_prob,demote_prob,survival_decay,hysteresis_band,degenerate,final_f1,final_precision,final_recall,pred_static,flicker_transitions
#seed,12345,windows,80,walls,50,occ,0.6,,
0.6,0.3,0.9,0.3,0,1,1,1,50,58
0.6,0.5,0.9,0.1,0,1,1,1,50,108
0.6,0.6,0.9,0,1,1,1,1,50,170
0.6,0.3,0.97,0.3,0,1,1,1,50,54
0.6,0.5,0.97,0.1,0,1,1,1,50,72
0.6,0.6,0.97,0,1,1,1,1,50,92
0.6,0.3,1,0.3,0,1,1,1,50,52
0.6,0.5,1,0.1,0,1,1,1,50,68
0.6,0.6,1,0,1,1,1,1,50,76
0.7,0.3,0.9,0.4,0,1,1,1,50,56
0.7,0.5,0.9,0.2,0,1,1,1,50,94
0.7,0.7,0.9,0,1,0.979592,1,0.96,48,250
0.7,0.3,0.97,0.4,0,1,1,1,50,54
0.7,0.5,0.97,0.2,0,1,1,1,50,66
0.7,0.7,0.97,0,1,1,1,1,50,116
0.7,0.3,1,0.4,0,1,1,1,50,52
0.7,0.5,1,0.2,0,1,1,1,50,62
0.7,0.7,1,0,1,1,1,1,50,86
0.8,0.3,0.9,0.5,0,1,1,1,50,56
0.8,0.5,0.9,0.3,0,1,1,1,50,82
0.8,0.8,0.9,0,1,0.947368,1,0.9,45,343
0.8,0.3,0.97,0.5,0,1,1,1,50,52
0.8,0.5,0.97,0.3,0,1,1,1,50,56
0.8,0.8,0.97,0,1,1,1,1,50,124
0.8,0.3,1,0.5,0,1,1,1,50,52
0.8,0.5,1,0.3,0,1,1,1,50,56
0.8,0.8,1,0,1,1,1,1,50,84
0.9,0.3,0.9,0.6,0,1,1,1,50,54
0.9,0.5,0.9,0.4,0,0.989899,1,0.98,49,71
0.9,0.9,0.9,0,1,0.809524,1,0.68,34,574
0.9,0.3,0.97,0.6,0,1,1,1,50,52
0.9,0.5,0.97,0.4,0,1,1,1,50,54
0.9,0.9,0.97,0,1,1,1,1,50,150
0.9,0.3,1,0.6,0,1,1,1,50,52
0.9,0.5,1,0.4,0,1,1,1,50,52
0.9,0.9,1,0,1,1,1,1,50,122
